Economico,"Nombre Sucursal","Fecha Ingreso","Fecha Promesa","Fecha Entrega",Motivo,"Costo por Reparacion","Dias en Detencion",nombreEstatus,Comentarios,Mad,Operacion,nombreTaller
TZ-239,Durango,2020-03-02,2020-03-04,0000-00-00,"Mantenimiento Correctivo",3899,2,"En proceso de reparación","INGRESA A REPARACIÓN DE SUSPENSIÓN
",MOTRIZ,Arca,"Muelles Durango"
TZ-431,Hermosillo,2020-03-03,2020-03-04,,"Mantenimiento Preventivo",7000,1,"En proceso de reparación","Unidad en taller por servicio M1",MOTRIZ,Arca,"Kenworth Distribuidora de Sonora, S"
TZ-158,Juarez,2020-02-06,2020-02-11,2020-02-12,"Mantenimiento Correctivo",3506,6,Terminada,"No sostiene la carga de el aire en baja (neutralizado) y el indicador de el filtro de el diesel esta muy alto (revisar lineas tapadas o filtros tapados).",MOTRIZ,Arca,"Kenworth de Chihuahua S.A de C.V"
TZ-233,Mexicali,2020-02-10,2020-02-11,2020-02-22,"Mantenimiento Correctivo",3462,12,Terminada,"manguera de agua rota.",MOTRIZ,Arca,"Kenworth del noroeste, S.A. de C.V."
TZ-157,Juarez,2020-02-11,2020-02-11,2020-02-11,"Mantenimiento Preventivo",4451,0,Terminada,"SERVICIO PREVENTIVO A EL MOTOR A LOS 906,462 KMS. FACT. 18157JBB.",MOTRIZ,Arca,"Kenworth de Chihuahua S.A de C.V"
TZ-157,Juarez,2020-02-11,2020-02-11,2020-02-11,"Mantenimiento Correctivo",432,0,Terminada,"SE INGRESA PARA REEMPLAZO DE EMPAQUE DE FLECHA LATERAL, DE EL YOYO No. 4. FACT. 18158JBB.",MOTRIZ,Arca,"Kenworth de Chihuahua S.A de C.V"
TZ-283,Mazatlan,2020-02-11,2020-02-11,2020-02-13,"Mantenimiento Preventivo",6086,2,Terminada,"TZ-283 ingresa a servicio de mantenimiento preventivo",MOTRIZ,Arca,"Camiones Vence, S.A. de C.V."
TZ-158,Juarez,2020-02-14,2020-02-19,2020-02-26,"Mantenimiento Correctivo",4640,12,Terminada,"EL MARCADOR DE EL DIESEL TIENE VARIACIONES ALTAS (SE HACE LIMPIEZA DE LINEAS, REEMPLAZO DE LINEA DE EL DIESEL Y LIMPIEZA DE EL TANQUE DE EL LADO DE EL COPILOTO PARA HABILITARLO).",MOTRIZ,Arca,"Kenworth de Chihuahua S.A de C.V"
TZ-214,Juarez,2020-02-24,2020-05-24,2020-02-25,"Mantenimiento Correctivo",3334,1,Terminada,"FALLA EN EL ENCENDIDO (SE REEMPLAZA ARNES DE EL SWICH A LA MARCHA).",MOTRIZ,Arca,"Kenworth de Chihuahua S.A de C.V"
TZ-398,Juarez,2020-02-26,2020-02-26,2020-02-27,"Mantenimiento Correctivo",1000,1,Terminada,"REEMPLAZO DE FILTRO DE EL AGUA (TIRA AGUA) Y RELLENAR DE ANTICONGLEANTE.",MOTRIZ,Arca,"Autobuses y Tractocamiones Del Cent"
TZ-215,Chihuahua,2020-02-27,2020-02-27,2020-03-03,"Mantenimiento Preventivo",5823,5,Terminada,"MANTENIMIENTO PREVENTIVO Kilometraje: 969272",MOTRIZ,Arca,"Kenworth de Chihuahua S.A de C.V"
TZ-159,Chihuahua,2020-02-28,2020-02-28,,"Mantenimiento Correctivo",1975,,Terminada,"TAPON NDE DIESEL Y RELLENO DE ACEITE
Kilometraje: 855219",MOTRIZ,Arca,"Kenworth de Chihuahua S.A de C.V"
TZ-216,Chihuahua,2020-02-27,2020-03-03,,"Mantenimiento Correctivo",10000,,Terminada,"corregir fugas de aire por lineas del tanque, cambiar filtro secador tapado, reemplazo de deposito de recuperacion de refrigerante",MOTRIZ,Arca,"Kenworth de Chihuahua S.A de C.V"
TZ-230,"La paz",2020-03-04,2020-03-04,2020-03-05,"Mantenimiento Correctivo",11000,1,Terminada,"Reemplazo de frenos tandem trasero, la unidad quedo lista el mismo dia 04 feb.  ",MOTRIZ,Arca,"Kenworth del noroeste, S.A. de C.V."
TZ-286,Chihuahua,2020-03-04,2020-03-04,,"Mantenimiento Correctivo",0,,Terminada,"Cambio de bolsa de aire y colocación de loderas",MOTRIZ,Arca,"Kenworth de Chihuahua S.A de C.V"
TZ-104,Pepsi,2019-12-10,2020-03-31,,"Mantenimiento Correctivo",200000,85,"En espera de autorización","Media reparación de motor por falla de freno de motor (alcance valvular)",MOTRIZ,"Mexico Pepsi","Grupo SIS Diesel Refacciones y Tran"
TZ-279,Pepsi,2020-02-28,2020-03-05,0000-00-00,"Mantenimiento Correctivo",20000,5,"En espera de diagnostico","Calibración de motor
Corregir fuga aceite riel inyectores
Revisar fuga aceite diferencial inter
Revisar indicador temperatura diferencial inter
Revisar funcionamiento faros niebla, A/C camarote, l",MOTRIZ,"Mexico Pepsi","Zapata Camiones (Tlalnepantla)"
TZ-269,Pepsi,2020-02-28,2020-03-05,0000-00-00,"Mantenimiento Correctivo",1,5,"En espera de diagnostico","Revisar transmisión (se eleva temperatura de aceite y derivado de ello falla convertidor)",MOTRIZ,"Mexico Pepsi","Grupo SIS Diesel Refacciones y Tran"
TZ-268,Pepsi,2020-02-28,2020-03-09,0000-00-00,"Mantenimiento Correctivo",20000,5,"En espera de diagnostico","Unidad incendiada, arneses y módulos",MOTRIZ,"Mexico Pepsi","Taller asignado por Aseguradora"
TZ-289,Pepsi,2020-03-02,2020-03-07,0000-00-00,"Mantenimiento Correctivo",1,2,"En espera de diagnostico","Concha quebrada de transmisión, tornillos capados",MOTRIZ,"Mexico Pepsi","Grupo Gruver Cuernavaca"
TZ-260,Pepsi,2020-03-04,2020-03-06,,"Mantenimiento Correctivo",10000,0,"En espera de diagnostico","ESta unidad presenta falla de encendido, acaba de ser rescatada por la agencia, es el segundo reingreso al distribuidor",MOTRIZ,"Mexico Pepsi","Zapata Camiones (Tlalnepantla)"
TZ-262,Pepsi,2020-03-02,2020-03-04,0000-00-00,"Mantenimiento Correctivo",1,2,"En proceso de reparación","Cambiar bulbo presión aire
Revisar y corregir fugas aire
Cambiar purgadores a tanques aire
Reparar A/C",MOTRIZ,"Mexico Pepsi","Frenos de aire Nogara"
TZ-275,Pepsi,2020-03-03,2020-03-04,0000-00-00,"Mantenimiento Correctivo",20000,1,"En proceso de reparación","Fuga por deposito de liquido de frenos, pedal del embrague balasto de faro principal",MOTRIZ,"Mexico Pepsi","Zapata Camiones (Tlalnepantla)"
TZ-270,Pepsi,2020-03-03,2020-03-06,,Siniestro,1,1,"En proceso de diagnostico","Golpe frontal, daño en cofre, parrilla, defensa, radiador",MOTRIZ,"Mexico Pepsi","Pierson Tracto Servicios"
TZ-260,Pepsi,2020-02-24,2020-03-03,2020-03-04,"Mantenimiento Correctivo",1,9,Terminada,"Revisar sistema de arranque código de falla SPN 677 FMI 4 
Fallo en aceleración código de falla SPN 723FMI 10
Rellenar nivel aceite transmisión",MOTRIZ,"Mexico Pepsi","Zapata Camiones (Tlalnepantla)"
TZ-279,Pepsi,2020-02-28,2020-03-05,2020-03-03,"Mantenimiento Preventivo",6386,4,Terminada,"Mantenimiento preventivo",MOTRIZ,"Mexico Pepsi","Zapata Camiones (Tlalnepantla)"
TZ-270,Pepsi,2020-02-28,2020-02-28,2020-02-29,"Mantenimiento Correctivo",90,1,Terminada,"Revisar yoyo 3 ""se amarra un poco""
Calibrar frenos",MOTRIZ,"Mexico Pepsi","Patio Zemog"
TZ-270,Pepsi,2020-03-02,2020-03-02,,"Mantenimiento Correctivo",1,,Terminada,"Cambiar soportes de cabina
Cambiar soportes traseros de motor",MOTRIZ,"Mexico Pepsi","Patio Zemog"
TZ-260,Pepsi,2020-03-04,2020-03-04,2020-03-04,Rescate,1,0,Terminada,"Falla en encendido (rescate).
Se arranco directo del modulo, se dirigirá a la base a dejar los remolques y de ahí se ingresa nuevamente al distribuidor",MOTRIZ,"Mexico Pepsi","Zapata Camiones (Tlalnepantla)"
