Economico,"Nombre Sucursal","Fecha Ingreso","Fecha Promesa","Fecha Entrega",Motivo,"Costo por Reparacion","Dias en Detencion",nombreEstatus,Comentarios,Mad,Operacion,nombreTaller
TZ-204,Tuxtepec,2020-02-11,2020-02-11,2020-02-12,"Mantenimiento Correctivo",2000,1,Terminada,"Cambio de válvula niveladora susp. delantera lado derecho, instalación de manguera de sopletear, reparar llanta pos. 4, corregir falla en motor de limpia-parabrisas, corregir falla en sistema A/C",MOTRIZ,Modelo,"Patio Zemog"
TZ-186,Tuxtepec,2020-02-11,2020-02-11,2020-02-12,"Mantenimiento Correctivo",7000,1,Terminada,"Cambio de tacones de motor, corregir falla sistema de a/c",MOTRIZ,Modelo,"Muelles de la Cuenca"
TZ-401,"Mexico Dedicado",2020-02-08,2020-02-29,2020-03-02,Siniestro,0,23,Terminada,"SINIESTRO: golpe en cofre lado izquierdo, faro y facia completa",MOTRIZ,Modelo,"Zapata Camiones (Tlalnepantla)"
TZ-365,Tuxtepec,2020-02-12,2020-02-12,2020-02-13,"Mantenimiento Correctivo",6000,1,Terminada,"Cambio de baterías dañadas, no retienen carga",MOTRIZ,Modelo,"Kenworth del Este S.A. de C.V."
TZ-327,Tuxtepec,2020-02-12,2020-02-13,2020-02-15,"Mantenimiento Correctivo",12000,3,Terminada,"Reparar cofre dañado, cambio de bujes de tensores de diferencial dañados, revisar perdida de potencia, Corregir fuga de diesel en T debajo de la cabina",MOTRIZ,Modelo,"Muelles de la Cuenca"
4259,Tuxtepec,2020-02-11,2020-02-11,2020-02-13,"Mantenimiento Preventivo",1400,2,Terminada,"Mantto Preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
4232,Tuxtepec,2020-02-11,2020-02-11,2020-02-13,"Mantenimiento Preventivo",1400,2,Terminada,"Mantto Preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
DH-125,Tuxtepec,2020-02-11,2020-02-11,2020-02-13,"Mantenimiento Preventivo",1400,2,Terminada,"Mantto preventivo A",DOLLY,Modelo,"Muelles de la Cuenca"
4262,Tuxtepec,2020-02-12,2020-02-12,2020-02-13,"Mantenimiento Preventivo",1400,1,Terminada,"Mantto Preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
4193,Tuxtepec,2020-02-12,2020-02-12,2020-02-13,"Mantenimiento Preventivo",1400,1,Terminada,"Mantto Preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
DH-098,Tuxtepec,2020-02-12,2020-02-12,2020-02-13,"Mantenimiento Preventivo",1400,1,Terminada,"Mantto Preventivo A",DOLLY,Modelo,"Muelles de la Cuenca"
4370,Tuxtepec,2020-02-12,2020-02-12,2020-02-13,"Mantenimiento Preventivo",1400,1,Terminada,"Mantto preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
4369,Tuxtepec,2020-02-12,2020-02-12,2020-02-13,"Mantenimiento Preventivo",1400,1,Terminada,"Mantto Preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
DA-164,Tuxtepec,2020-02-12,2020-02-12,2020-02-13,"Mantenimiento Preventivo",1400,1,Terminada,"Mantto Preventivo A",DOLLY,Modelo,"Muelles de la Cuenca"
4298,Tuxtepec,2020-02-12,2020-02-12,2020-02-13,"Mantenimiento Correctivo",17000,1,Terminada,"Montaje de 8 llantas renovadas BTL-SA 11R 24.5",ARRASTRE,Modelo,"Patio Zemog"
4292,Tuxtepec,2020-02-12,2020-02-12,2020-02-13,Rescate,5000,1,Terminada,"Cambio de bolsa de suspensión dañada pos. 3, cambio de llanta y rin dañado (unidad TZ-257)",ARRASTRE,Modelo,"Muelles de la Cuenca"
TZ-199,Tuxtepec,2020-02-13,2020-02-14,2020-02-15,"Mantenimiento Correctivo",12000,2,Terminada,"Cambio de llantas de dirección",MOTRIZ,Modelo,"Patio Zemog"
TZ-245,Tuxtepec,2020-02-13,2020-02-13,2020-02-15,"Mantenimiento Preventivo",11000,2,Terminada,"Mantto preventivo M1, calibración de motor",MOTRIZ,Modelo,"Gomsa Camiones Tuxtepec S.A de C.V."
TZ-202,Zacatecas,2020-02-13,2020-02-15,2020-02-15,"Mantenimiento Correctivo",13700,2,Terminada,"PROBLEMAS CON RUIDO EN COLLARIN DEL EMBRAGUE",MOTRIZ,Modelo,"Sermucal, S. de R.L de C.V"
4439,Tuxtepec,2020-02-14,2020-02-14,2020-02-15,"Mantenimiento Preventivo",1400,1,Terminada,"Mantto preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
4443,Tuxtepec,2020-02-14,2020-02-14,2020-02-15,"Mantenimiento Preventivo",1400,1,Terminada,"Mantto Preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
DA-199,Tuxtepec,2020-02-14,2020-02-14,2020-02-15,"Mantenimiento Preventivo",1400,1,Terminada,"Mantto Preventivo A",DOLLY,Modelo,"Muelles de la Cuenca"
TZ-178,Tuxtepec,2020-02-13,2020-02-13,2020-02-14,Rescate,1,1,Terminada,"Unidad da marcha pero no arranca, se envía rescate por parte de Daimler y se acuerda con CIS que de ser problema satelital seria con cargo a Omnitracs.
Queda unidad disponible, la unidad se encontrab",MOTRIZ,Modelo,"Rescate en carretera"
TZ-202,Zacatecas,2020-02-15,2020-02-17,2020-02-18,"Mantenimiento Preventivo",6500,3,Terminada,"Preventivo M 1",MOTRIZ,Modelo,"Kenworth del Centro S.A de C.V"
TZ-203,Zacatecas,2020-02-15,2020-02-17,2020-02-18,"Mantenimiento Correctivo",3700,3,Terminada,"REVISAR ALBARDONES , REVISAR SOPORTES DE CABINA , REVISAR SOPORTES DE MOTOR , REVISAR BALERO COLGANTE DE FLECHA CARDAN",MOTRIZ,Modelo,"Sermucal, S. de R.L de C.V"
TZ-378,Zacatecas,2020-02-15,2020-02-18,2020-02-24,"Mantenimiento Correctivo",4700,9,Terminada,"REVISAR FRENOS",MOTRIZ,Modelo,"Kenworth del Centro S.A de C.V"
TZ-185,Tuxtepec,2020-02-15,2020-02-15,2020-02-15,"Mantenimiento Preventivo",10000,0,Terminada,"Mantto. Preventivo M1, Calibración de motor",MOTRIZ,Modelo,"Gomsa Camiones Tuxtepec S.A de C.V."
4292,Tuxtepec,2020-02-15,2020-02-15,2020-02-15,"Mantenimiento Correctivo",2000,0,Terminada,"Cambio de tambor dañado pos. 4",ARRASTRE,Modelo,"Alfredo Carretero Azamar"
TZ-243,Tuxtepec,2020-02-15,2020-02-17,2020-02-17,"Mantenimiento Correctivo",1600,2,Terminada,"Reparar radiador por fuga de agua",MOTRIZ,Modelo,"Ricardo Santiago Velazquez"
TZ-363,Tuxtepec,2020-02-15,2020-02-15,2020-02-17,"Mantenimiento Correctivo",500,2,Terminada,"Checar fuga de aire, cambiar anticongelante, checar neblinero y cuartos",MOTRIZ,Modelo,"Alfredo Carretero Azamar"
TZ-185,Tuxtepec,2020-02-17,2020-02-17,2020-02-18,"Mantenimiento Correctivo",1500,1,Terminada,"Nivelar aceite de maza pos. 2, desarmar maza pos. y para cambio de aceite por contaminación",MOTRIZ,Modelo,"Gomsa Camiones Tuxtepec S.A de C.V."
TZ-203,Zacatecas,2020-02-17,2020-02-20,2020-02-24,Rescate,9800,7,Terminada,"PROBLEMAS CON EMBRAGUE",MOTRIZ,Modelo,"Kenworth del Bajio S.A de C.V"
4334,Tuxtepec,2020-02-17,2020-02-17,2020-02-18,"Mantenimiento Correctivo",800,1,Terminada,"Cambio de chamber pos. 4",ARRASTRE,Modelo,"Muelles de la Cuenca"
TZ-195,"Guadalajara Especializado",2020-02-25,2020-02-28,2020-02-28,"Mantenimiento Correctivo",8500,3,Terminada,"Unidad ingresar por problemas con el freno de motor, no lo activa. En proceso de reparación.  Fecha de entrega  28/02/2020  a las 11:00 hrs",MOTRIZ,Modelo,"Zapata Camiones  Suc. R Michel"
TZ-237,"Guadalajara Especializado",2020-02-17,2020-02-21,2020-02-25,"Mantenimiento Correctivo",8500,8,Terminada,"Unidad terminada,  se reparo la caja de direccion. ",MOTRIZ,Modelo,"Nestor Alcala Zavalza"
TZ-351,Zacatecas,2020-02-18,2020-02-18,2020-02-24,"Mantenimiento Correctivo",2300,6,Terminada,"CONFIGURACIÓN DE PARÁMETROS  DE FABRICA SIN MODIFICAR  TEMA DE GOBERNADO",MOTRIZ,Modelo,"Kenworth del Centro S.A de C.V"
DH-104,Tuxtepec,2020-02-18,2020-02-18,2020-02-19,"Mantenimiento Correctivo",900,1,Terminada,"Cambio de chamber  pos. 2, cambio de balatas pos. 1 y 2",DOLLY,Modelo,"Muelles de la Cuenca"
4233,Tuxtepec,2020-02-18,2020-02-18,2020-02-20,"Mantenimiento Preventivo",1400,2,Terminada,"Mantto preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
4234,Tuxtepec,2020-02-18,2020-02-18,2020-02-20,"Mantenimiento Preventivo",1400,2,Terminada,"Mantto preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
DH-104,Tuxtepec,2020-02-18,2020-02-18,2020-02-20,"Mantenimiento Preventivo",1400,2,Terminada,"Mantto preventivo A",DOLLY,Modelo,"Muelles de la Cuenca"
TZ-242,Tuxtepec,2020-02-18,2020-02-18,2020-02-19,"Mantenimiento Correctivo",150,1,Terminada,"Reapretar abrazaderas de postenfriador",MOTRIZ,Modelo,"Muelles de la Cuenca"
TZ-329,Tuxtepec,2020-02-18,2020-02-18,2020-02-19,"Mantenimiento Correctivo",1000,1,Terminada,"Cambio de tacon de cofre",MOTRIZ,Modelo,"Muelles de la Cuenca"
TZ-353,Tuxtepec,2020-02-19,2020-02-19,2020-02-20,"Mantenimiento Preventivo",10000,1,Terminada,"Mantto preventivo M1 y Calibración de motor",MOTRIZ,Modelo,"Gomsa Camiones Tuxtepec S.A de C.V."
TZ-250,Tuxtepec,2020-02-19,2020-02-19,2020-02-19,"Mantenimiento Correctivo",300,0,Terminada,"Cambio de conexión dañada en tanque de aire, aleron dañado en percance en carretera",MOTRIZ,Modelo,"Muelles de la Cuenca"
TZ-311,Tuxtepec,2020-02-19,2020-02-19,2020-02-20,"Mantenimiento Correctivo",4500,1,Terminada,"Reparar marcha",MOTRIZ,Modelo,"Sergio Mendoza Alanso"
4393,Tuxtepec,2020-02-19,2020-02-19,2020-02-20,"Mantenimiento Preventivo",1400,1,Terminada,"Mantto Preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
4274,Tuxtepec,2020-02-19,2020-02-19,2020-02-20,"Mantenimiento Preventivo",1400,1,Terminada,"Mantto preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
DH-127,Tuxtepec,2020-02-19,2020-02-19,2020-02-20,"Mantenimiento Preventivo",1400,1,Terminada,"Mantto preventivo A",DOLLY,Modelo,"Muelles de la Cuenca"
TZ-392,"Guadalajara Dedicado",2020-02-20,2020-03-04,2020-03-05,"Mantenimiento Preventivo",21000,14,Terminada,"Unidad ingresa a M1 y a revisión de códigos de falla.  En proceso de reparacion de tanque,  amortiguadores, etc.  UNIDAD TERMINADA",MOTRIZ,Modelo,"Kenworth de Jalisco S.A de C.V"
TZ-199,Tuxtepec,2020-02-20,2020-02-20,2020-02-24,"Mantenimiento Correctivo",800,4,Terminada,"Corregir fugas de aire en conexiones de tanque, checar flotador del tanque de diesel",MOTRIZ,Modelo,"Muelles de la Cuenca"
TZ-178,Tuxtepec,2020-02-19,2020-02-20,2020-02-24,"Mantenimiento Correctivo",8000,5,Terminada,"Cambio de cilindro esclavo de clutch, cambio de pedal de clutch, cambio de clutch dañado",MOTRIZ,Modelo,"Patio Zemog"
TZ-296,Zacatecas,2020-02-21,2020-02-25,2020-02-25,"Mantenimiento Correctivo",3650,4,Terminada,"Revisar albardones caja de direccion dura al realizar maniobras en patio",MOTRIZ,Modelo,"Centro Diesel Profesional"
TZ-183,Zacatecas,2020-02-21,2020-02-25,2020-02-28,Siniestro,21879,7,Terminada,"Golpe en pate delantera. Derecha en defensa y base central",MOTRIZ,Modelo,"Patio Zemog"
TZ-240,Zacatecas,2020-02-14,2020-02-24,2020-02-29,Siniestro,7300,15,Terminada,"Golpe en parte delantera izquierda defensa. Y faro",MOTRIZ,Modelo,"Patio Zemog"
TZ-363,Tuxtepec,2020-02-24,2020-02-25,2020-02-25,"Mantenimiento Correctivo",250,1,Terminada,"Cambio de llantas por bajo milimetraje pos. 3 y 4",MOTRIZ,Modelo,"Patio Zemog"
TZ-252,Tuxtepec,2020-02-24,2020-02-24,2020-02-25,"Mantenimiento Correctivo",250,1,Terminada,"Cambio de conector hembra, cambio de fusibles de sam chasis fundidos",MOTRIZ,Modelo,"Patio Zemog"
TZ-206,Tuxtepec,2020-02-24,2020-02-24,2020-02-25,"Mantenimiento Correctivo",250,1,Terminada,"Mantto a 4 baterías por falla en arranque",MOTRIZ,Modelo,"Patio Zemog"
TZ-177,Tuxtepec,2020-02-24,2020-02-24,2020-02-25,"Mantenimiento Correctivo",500,1,Terminada,"Cambio de manguera de alta de la dirección hidráulica, corregir fuga de anticongelante en tapón de drene del radiador",MOTRIZ,Modelo,"Muelles de la Cuenca"
DH-146,Tuxtepec,2020-02-24,2020-02-24,2020-02-25,"Mantenimiento Correctivo",150,1,Terminada,"Cambio de llave de paso",DOLLY,Modelo,"Muelles de la Cuenca"
TZ-300,Zacatecas,2020-02-25,2020-02-26,2020-02-29,"Mantenimiento Correctivo",3580,4,Terminada,"Revisar soportes de motor , Albardones,Soportea de cabina",MOTRIZ,Modelo,"Centro Diesel Profesional"
TZ-173,Zacatecas,2020-02-21,2020-02-28,2020-02-29,Garantia,1,8,Terminada,"No funcionan direccionales",MOTRIZ,Modelo,"Patio Zemog"
TZ-317,"Mazatlan Especializado",2020-02-25,2020-02-26,2020-02-28,"Mantenimiento Correctivo",21800,3,Terminada,"operador reporta deslizamiento de embrague y aumento en revoluciones",MOTRIZ,Modelo,"Kenworth Sinaloense S.A. DE C.V."
TZ-424,"Mazatlan Dedicado",2020-02-25,2020-02-25,2020-02-28,"Mantenimiento Preventivo",7000,3,Terminada,"servicio de conservacion de motor sin falla reportadas",MOTRIZ,Modelo,"Camiones Vence, S.A. de C.V."
TZ-424,"Mazatlan Dedicado",2020-02-25,2020-02-25,2020-02-28,"Mantenimiento Preventivo",7000,3,Terminada,"operador reporta unidad sin novedad",MOTRIZ,Modelo,"Camiones Vence, S.A. de C.V."
TZ-182,Tuxtepec,2020-02-25,2020-02-25,2020-02-26,"Mantenimiento Correctivo",3000,1,Terminada,"Checar pedal del clutch se queda abajo, corregir fuga de aire",MOTRIZ,Modelo,"Muelles de la Cuenca"
TZ-206,Tuxtepec,2020-02-25,2020-02-25,2020-02-27,"Mantenimiento Correctivo",1000,2,Terminada,"Checar sistema de arranque, baterías, satelital",MOTRIZ,Modelo,"Patio Zemog"
4311,Tuxtepec,2020-02-25,2020-02-28,2020-03-02,"Mantenimiento Correctivo",10000,6,Terminada,"Bajar llantas con bajo milimetraje para renovar, 1,2,3,4,5,7 y 8",ARRASTRE,Modelo,"Patio Zemog"
TZ-194,"Guadalajara Especializado",2020-02-25,2020-02-27,2020-03-04,"Mantenimiento Correctivo",1200,8,Terminada,"Unidad ingresa a TRR por fugas de aire y deja de funcionar el A/C.  Unidad terminada",MOTRIZ,Modelo,"Tracto reparaciones Rodrigo"
4415,Tuxtepec,2020-02-26,2020-02-26,2020-02-27,"Mantenimiento Preventivo",700,1,Terminada,"Mantto preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
4425,Tuxtepec,2020-02-26,2020-02-26,2020-02-27,"Mantenimiento Preventivo",700,1,Terminada,"Mantto Preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
TZ-236,"Guadalajara Especializado",2020-02-26,2020-02-26,2020-02-29,"Mantenimiento Preventivo",18200,3,Terminada,"Servicio M1 OK, adicional esta dañado bomba, empaque y laina.  cotizacion autorizada, en proceso de reparacion.  Se libeRA HOY A LAS 15:00 HS ",MOTRIZ,Modelo,"Kenworth de Jalisco S.A de C.V (Jau"
DA-204,Tuxtepec,2020-02-26,2020-02-26,2020-02-27,"Mantenimiento Preventivo",700,1,Terminada,"Mantto preventivo A",DOLLY,Modelo,"Muelles de la Cuenca"
4397,Torreon,2020-02-26,2020-03-02,2020-03-02,"Mantenimiento Correctivo",20000,5,Terminada,"CAMBIO DE PLACA DE DESLIZAMIENTO Y PERNO REY",ARRASTRE,Modelo,"Jose Luis Velazco Bustos"
TZ-352,Tuxtepec,2020-02-25,2020-02-25,2020-02-27,"Mantenimiento Preventivo",7500,2,Terminada,"Mantto preventivo M1",MOTRIZ,Modelo,"Gomsa Camiones Tuxtepec S.A de C.V."
TZ-204,Tuxtepec,2020-02-26,2020-02-26,2020-02-27,"Mantenimiento Correctivo",1000,1,Terminada,"Corregir falla en micro del clutch",MOTRIZ,Modelo,"Sergio Mendoza Alanso"
4263,Tuxtepec,2020-02-26,2020-02-26,2020-02-27,"Mantenimiento Correctivo",500,1,Terminada,"Cambio de plafones fundidos",ARRASTRE,Modelo,"Sergio Mendoza Alanso"
TZ-149,Torreon,2020-02-27,2020-02-27,2020-02-28,"Mantenimiento Correctivo",1,1,Terminada,"PERDIDA DE POTENCIA 
NOTA: SE REALIZO LIMPIEZA DE TURBO POR EXCESO DE HOLLIN, SE REALIZO REVICION DE SENSOR DE MULTIPLE DE ESCAPE, PRESION DE ACEITE, SELLAR FISURA EN DEPOSITO DE ANTICONGELANTE Y COR",MOTRIZ,Modelo,"Megamack (Torreon)"
4338,Torreon,2020-02-27,2020-02-27,2020-02-27,"Mantenimiento Correctivo",1175,0,Terminada,"BOLSA POROSA 2° EJE LADO DERECHO",ARRASTRE,Modelo,"Jose Garcia Guerrero"
DH-120,Torreon,2020-02-27,2020-02-27,2020-02-27,"Mantenimiento Correctivo",450,0,Terminada,"FUGA DE AIRE POR VÁLVULA PALANQUETA",DOLLY,Modelo,"Jose Garcia Guerrero"
4280,Tuxtepec,2020-02-27,2020-02-27,2020-02-28,"Mantenimiento Preventivo",1400,1,Terminada,"Mantto Preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
4258,Tuxtepec,2020-02-27,2020-02-27,2020-02-28,"Mantenimiento Preventivo",1400,1,Terminada,"Mantto Preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
TZ-311,Tuxtepec,2020-02-27,2020-02-28,2020-02-29,"Mantenimiento Correctivo",6300,2,Terminada,"Llanta de  dirección pos. 2 con golpe en costado",MOTRIZ,Modelo,"Patio Zemog"
TZ-245,Tuxtepec,2020-02-27,2020-02-27,2020-02-28,"Mantenimiento Correctivo",500,1,Terminada,"Checar fuga de aire en tablero y válvula niveladora",MOTRIZ,Modelo,"Muelles de la Cuenca"
TZ-253,"Mexico Especializado",2020-02-27,2020-02-27,,"Mantenimiento Correctivo",90,,Terminada,"Cambiar manguera de espiral (servicio)",MOTRIZ,Modelo,"Patio Zemog"
4250,"Mexico Especializado",2020-02-27,2020-02-27,2020-02-28,"Mantenimiento Preventivo",1800,1,Terminada,"Mantenimiento preventivo",ARRASTRE,Modelo,"Patio Zemog"
4251,"Mexico Especializado",2020-02-27,2020-02-27,2020-02-28,"Mantenimiento Preventivo",1800,1,Terminada,"Mantenimiento preventivo",ARRASTRE,Modelo,"Patio Zemog"
TZ-349,"Mexico Especializado",2020-02-27,2020-02-27,,"Mantenimiento Correctivo",1,,Terminada,"Calibrar presión llantas
Cambiar cable macho",MOTRIZ,Modelo,"Patio Zemog"
TZ-313,"Mexico Especializado",2020-02-27,2020-02-27,,"Mantenimiento Correctivo",1,,Terminada,"Talacha llanta P9",MOTRIZ,Modelo,"Mendoza Logistic Systems, S.A. de C"
TZ-190,Zacatecas,2020-02-27,2020-02-29,2020-02-29,"Mantenimiento Correctivo",3700,2,Terminada,"Fuga de aceite por salida de escape en turno
Fuga de aire por pos enfriador",MOTRIZ,Modelo,"Kenworth del Centro S.A de C.V"
TZ-319,Torreon,2020-02-28,2020-02-28,2020-02-29,"Mantenimiento Correctivo",1,1,Terminada,"REVISAR POR FUGA DE AIRE A LA ALTURA DE SUSPENCION DELANTERA
NOTA: SE CAMBIO CONEXIÓN DE BRONCE CODO DE 1/2"" A 5/8"" CON GARBANZO, SE SELLO FUGA EN CONEXION DE MANITA DE AIRE DE SERVICIO.",MOTRIZ,Modelo,"Jose Garcia Guerrero"
DH-091,Torreon,2020-02-28,2020-03-03,2020-03-03,"Mantenimiento Correctivo",8362,4,Terminada,"04 LLANTAS DAÑADAS 1° EJE (EN REVISION Y DICTAMEN TECNICO PARA DESLINDAR REPONSABILIDAD DEL OPERADOR, YA QUE EL EQUIPO SE MOVIO SIN AIRE Y DAÑO LAS 4 LLANTAS DEL PRIMER EJE) 2 DE LAS LLANTAS SE PUDIER",DOLLY,Modelo,"Jose Garcia Guerrero"
4316,Tuxtepec,2020-02-28,2020-02-28,2020-02-29,"Mantenimiento Preventivo",700,1,Terminada,"Mantto Preventivo A",ARRASTRE,Modelo,"Muelles de la Cuenca"
4200,Tuxtepec,2020-02-28,2020-02-28,2020-02-29,"Mantenimiento Correctivo",1000,1,Terminada,"Reparar fisuras en chasis y puentes de perchas",ARRASTRE,Modelo,"Muelles de la Cuenca"
DH-112,Tuxtepec,2020-02-28,2020-02-28,2020-02-29,"Mantenimiento Correctivo",1000,1,Terminada,"Reparar fisuras en piernas de suspensión y ojillos de jalón",DOLLY,Modelo,"Muelles de la Cuenca"
TZ-257,Tuxtepec,2020-02-28,2020-02-28,2020-02-29,"Mantenimiento Correctivo",200,1,Terminada,"Cambio de llanta volada pos. 9, revisar bujes de albardones y tacones de motor",MOTRIZ,Modelo,"Patio Zemog"
TZ-281,"Mexico Especializado",2020-02-28,2020-03-03,2020-03-03,"Mantenimiento Correctivo",1,4,Terminada,"Revisar funcionamiento freno de motor (se escucha disparejo, en ocasiones se corta)
Motor se calibro el 25/01/2020. No se presento la falla después de varios diagnósticos.",MOTRIZ,Modelo,"Zapata Camiones (Tlalnepantla)"
4399,"Guadalajara Especializado",2020-02-28,2020-02-28,2020-02-29,"Mantenimiento Correctivo",2400,1,Terminada,"Remolque con daño en chamber. En proceso de reparacion",ARRASTRE,Modelo,"Nestor Alcala Zavalza"
4262,Tuxtepec,2020-02-28,2020-02-29,2020-03-02,"Mantenimiento Correctivo",16000,3,Terminada,"Cambio de espejo (quinta rueda superior), por desgaste excesivo",ARRASTRE,Modelo,"Muelles de la Cuenca"
4292,Tuxtepec,2020-02-28,2020-02-28,2020-02-29,"Mantenimiento Correctivo",1500,1,Terminada,"Cambio de arandela concentrica de bujes trifuncional, cambio de tonillo pivote y alinear pos. 1",ARRASTRE,Modelo,"Muelles de la Cuenca"
TZ-185,Tuxtepec,2020-02-28,2020-02-28,2020-02-28,"Mantenimiento Correctivo",1500,0,Terminada,"Cambio de bujes dañados de quinta rueda, reapretar tornilleria de puente de chasis",MOTRIZ,Modelo,"Muelles de la Cuenca"
TZ-291,"Mexico Especializado",2020-02-28,2020-02-28,2020-03-04,Rescate,15000,5,Terminada,"Operador reporta elevación de temperatura de refrigerante (posible termostato)
Nivel de anticongelante correcto, no presenta fugas de refrigerante, fan clutch si trabaja",MOTRIZ,Modelo,"Zapata Camiones (Tlalnepantla)"
4291,"Mexico Especializado",2020-02-28,2020-02-28,,"Mantenimiento Correctivo",1,,Terminada,"Cambio llanta P3
Calibrar presión llantas
Reparar tubo de lona
Reparar poste trasero izquierdo",ARRASTRE,Modelo,"Mendoza Logistic Systems, S.A. de C"
TZ-210,Apan,2020-02-28,2020-02-28,,"Mantenimiento Correctivo",1,,Terminada,"Talacha llanta P9
Calibrar presión llantas",MOTRIZ,Modelo,"Mendoza Logistic Systems, S.A. de C"
4341,Apan,2020-02-28,2020-02-28,,"Mantenimiento Correctivo",1392,,Terminada,"Cambiar bolsa aire",ARRASTRE,Modelo,"Patio Zemog"
TZ-365,Tuxtepec,2020-02-29,2020-02-29,2020-03-02,Rescate,5000,2,Terminada,"Manguera del EGR dañada a la llegada del venturi",MOTRIZ,Modelo,"Kenworth del Este S.A. de C.V."
TZ-256,Tuxtepec,2020-02-29,2020-02-29,2020-03-02,"Mantenimiento Correctivo",1000,2,Terminada,"Checar baleros de poleas tensoras, checar micro del pedal del clutch, ajustar cofre",MOTRIZ,Modelo,"Muelles de la Cuenca"
TZ-246,Tuxtepec,2020-02-29,2020-02-29,2020-03-02,"Mantenimiento Correctivo",500,2,Terminada,"Checar secador (corta por arriba de la presión objetivo)",MOTRIZ,Modelo,"Muelles de la Cuenca"
DA-062,Tuxtepec,2020-02-29,2020-02-29,2020-03-02,"Mantenimiento Correctivo",300,2,Terminada,"Cambio de llanta volada pos. 6 y reparar pos. 7 ponchada",DOLLY,Modelo,"Patio Zemog"
4153,Tuxtepec,2020-02-29,2020-02-29,2020-03-02,"Mantenimiento Correctivo",700,2,Terminada,"Reparar lonas",ARRASTRE,Modelo,"Muelles de la Cuenca"
4283,Tuxtepec,2020-02-29,2020-02-29,2020-03-02,"Mantenimiento Correctivo",150,2,Terminada,"lubricar carretillas",ARRASTRE,Modelo,"Muelles de la Cuenca"
4331,Tuxtepec,2020-02-29,2020-02-29,2020-03-02,"Mantenimiento Correctivo",150,2,Terminada,"Lubricar carretillas, colocar duela en borda para aumentar inclinación de la tarima",ARRASTRE,Modelo,"Muelles de la Cuenca"
TZ-388,"Guadalajara Dedicado",2020-02-28,2020-03-03,2020-03-02,"Mantenimiento Correctivo",12500,3,Terminada,"Unidad ingresa a servicio M1, se repara corto circuito en arnes de freno de motor. ",MOTRIZ,Modelo,"Kenworth de Jalisco S.A de C.V (Jau"
4181,"Guadalajara Especializado",2020-02-29,2020-02-03,2020-03-03,"Mantenimiento Preventivo",1800,3,Terminada,"Terminado, cambio de balatas y 4 amortiguadores",ARRASTRE,Modelo,"Nestor Alcala Zavalza"
4336,"Guadalajara Especializado",2020-02-29,2020-03-02,2020-03-03,"Mantenimiento Preventivo",1800,3,Terminada,"UNIDAD TERMINA",ARRASTRE,Modelo,"Nestor Alcala Zavalza"
TZ-247,Tuxtepec,2020-03-02,2020-03-03,2020-03-04,"Mantenimiento Correctivo",7000,2,Terminada,"Cambio de válvula del turbo por fuga de anticongelante",MOTRIZ,Modelo,"Gomsa Camiones Tuxtepec S.A de C.V."
DH-140,Tuxtepec,2020-03-02,2020-03-02,2020-03-03,"Mantenimiento Correctivo",500,1,Terminada,"Reparar fisuras en perchas",DOLLY,Modelo,"Muelles de la Cuenca"
TZ-319,Torreon,2020-03-03,2020-03-03,2020-03-02,Rescate,1,-1,Terminada,"Problemas con el sistema de combustible, en las lineas de diésel de alta presión (toberas)
Nota: Esta apoyando personal de rescate carretero en Hermosillo para habilitar la unidad y se pueda mover, J",MOTRIZ,Modelo,"Camionera de Chihuahua SA de CV"
TZ-188,Apan,2020-03-02,2020-03-02,2020-03-02,"Mantenimiento Correctivo",90,0,Terminada,"Reapretar guía suspensión eje inter lado izquierdo",MOTRIZ,Modelo,"Patio Zemog"
TZ-277,Apan,2020-03-02,2020-03-02,2020-03-03,"Mantenimiento Preventivo",8050,1,Terminada,"Mantenimiento preventivo",MOTRIZ,Modelo,"Zapata Camiones (Tlalnepantla)"
TZ-237,"Guadalajara Especializado",2020-03-02,2020-03-04,2020-03-03,Rescate,12500,1,Terminada,"Adrian Lopez: Unidad terminada,  reemplazo de tornillos al tensor (Capados) abrazaderas del chamber. Falta la guia del eje. Recomiendan ingresar a taller",MOTRIZ,Modelo,"Kenworth de Jalisco S.A de C.V"
