Economico,"Nombre Sucursal","Fecha Ingreso","Fecha Promesa","Fecha Entrega",Motivo,"Costo por Reparacion","Dias en Detencion",nombreEstatus,Comentarios,"Nombre Operacion",Mad,Operacion
TZ-408,"Mexico Dedicado",2020-03-06,2020-03-06,2020-03-06,"Mantenimiento Correctivo",0,0,"Terminada bajo reserva","OPERADOR REPORTA QUE AL IR CIRCULANDO SE LE CAE LA PRESION DEL AIRE. SE DESVIA A SIS DIESEL PARA SU DIAGNOSTICO SI ES TEMA DEL REMOLQUE SE REPARAR AHI CON ELLOS PERO SI ES TEMA DEL TRACTO SE LLEVARA A",Modelo,MOTRIZ,Modelo
TZ-130,Hermosillo,2020-02-18,2020-03-07,0000-00-00,"Mantenimiento Correctivo",5000,18,"En espera de dictamen de garantia","Posible corto en linea de control crucero y fan clutch directo. No encuentran la falla, esta desarmado el tablero y estamos en espera de retroalimentación.",Arca,MOTRIZ,Arca
TZ-127,Hermosillo,2019-06-15,2020-03-16,0000-00-00,"Mantenimiento Correctivo",190000,266,"En espera de autorización","Media reparación por desgaste de componentes debido a contaminación de refrigerante en el aceite de motor.",Arca,MOTRIZ,Arca
TZ-216,Chihuahua,2020-02-27,2020-03-07,0000-00-00,"Mantenimiento Correctivo",14000,9,"En espera de autorización","Reemplazo de balatas y tambores tandem trasero.",Arca,MOTRIZ,Arca
TZ-222,Hermosillo,2020-03-05,2020-03-07,0000-00-00,"Mantenimiento Correctivo",7338,2,"En espera de autorización","La unidad llego de viaje presentando fuga de aire y se mando con el proveedor detectando dos bolas de aire dañadas y amortiguadores en mal estado. Ya se mando la cotización por correo y estamos en esp",Arca,MOTRIZ,Arca
TZ-434,"La paz",2020-03-05,2020-03-15,0000-00-00,"Mantenimiento Correctivo",0,2,"En espera de autorización","Desgaste irregular de llantas delanteras, TZ434, cambio de pasador KING PING. se podria promover aun por garantía?",Arca,MOTRIZ,Arca
TZ-292,Nogales,2020-02-21,2020-03-06,0000-00-00,"Mantenimiento Correctivo",40000,15,"En espera de cotización","Turbo dañado y VGT.",Arca,MOTRIZ,Arca
TZ-110,"La paz",2020-01-06,2020-03-10,0000-00-00,"Mantenimiento Correctivo",12000,61,"En espera de cotización","Fuga de aceite de motor por concha trasera. diagnostican el clutch tiene resortes quebrados. ",Arca,MOTRIZ,Arca
TZ-134,Durango,2020-03-05,2020-03-07,0000-00-00,"Mantenimiento Correctivo",1,2,"En espera de cotización","CORRECCIÓN DE FUGAS DE AGUA",Arca,MOTRIZ,Arca
TZ-232,"La paz",2020-03-05,2020-03-07,,"Mantenimiento Correctivo",0,2,"En espera de cotización","FUGAS DE AIRE POR SUSPENSIÓN Y REALIZAR  IPK...",Arca,MOTRIZ,Arca
TZ-306,Culiacan,2020-03-02,2020-03-07,0000-00-00,"Mantenimiento Preventivo",35000,5,"En espera de diagnostico","ya recibí el diagnostico y  comenta la agencia que si es la Bomba de combustión de Alta ya les envié la cotización",Arca,MOTRIZ,Arca
TZ-209,Culiacan,2020-02-29,2020-03-07,0000-00-00,"Mantenimiento Correctivo",35000,7,"En espera de diagnostico","la unidad se ingreso por perdida de potencia al parecer me comentan que lo mas posible es que se ala valvula vgt harán pruebas con otra valvula para estar seguros de que si sea realmente la válvula VG",Arca,MOTRIZ,Arca
TZ-294,Nogales,2020-03-03,2020-03-06,0000-00-00,"Mantenimiento Correctivo",40000,4,"En espera de diagnostico","Revisión de turbo y VGT",Arca,MOTRIZ,Arca
TZ-141,Chihuahua,2020-03-05,2020-03-07,,"Mantenimiento Correctivo",4000,2,"En espera de diagnostico","Fuga de agua por el radiador",Arca,MOTRIZ,Arca
TZ-221,Durango,2020-03-05,2020-03-07,,"Mantenimiento Correctivo",1,2,"En espera de diagnostico","FALLA EN TURBO EN LA CIUDAD DE CALERA ZACATECAS",Arca,MOTRIZ,Arca
